Year,Q1_nsa,Q2_nsa,Q3_nsa,Q4_nsa,Q1_sa,Q2_sa,Q3_sa,Q4_sa
2014,271.03,284.69,288.95,290.08,272.54,279.51,285.1,290.47
2015,297.47,310.41,318.97,319.81,298.59,304.53,315.3,320.59
2016,323.34,335.44,333.75,335.32,323.73,328.98,330.53,336.33
2017,344.97,355.48,361.55,374.81,344.84,348.24,358.83,376.04
2018,380.92,396.35,393.59,388.55,380.39,387.84,391.45,389.34
2019,394.69,402.59,392.82,392.33,394.63,393.21,391.31,392.59
2020,396.51,394.7,408.46,405.95,397.23,384.89,407.22,405.58
2021,416.22,450.19,457.18,478.63,418.1,438.32,455.8,477.71
2022,478.92,510.5,501.65,505.54,482.2,496.62,499.79,504.33
2023,502.56,519.56,519.87,506.08,506.86,505.4,517.1,505.19
2024,524.72,554.83,546.08,543.62,529.45,540.09,542.17,543.29